"배송년월일","송하인_시명","송하인_시코드","송하인_구명","송하인_구코드","수하인_시명","수하인_시코드","수하인_구명","수하인_구코드","대분류_착지물동량 가구/인테리어","대분류_착지물동량 기타","대분류_착지물동량 도서/음반","대분류_착지물동량 디지털/가전","대분류_착지물동량 생활/건강","대분류_착지물동량 스포츠/레저","대분류_착지물동량 식품","대분류_착지물동량 출산/육아","대분류_착지물동량 패션의류","대분류_착지물동량 패션잡화","대분류_착지물동량 화장품/미용"
20220601,서울특별시,11,마포구,11440,서울특별시,11,노원구,11350,0,5,0,0,4,0,0,0,0,0,0
20220601,서울특별시,11,마포구,11440,서울특별시,11,은평구,11380,0,0,0,0,6,0,0,0,0,0,0
20220601,서울특별시,11,마포구,11440,서울특별시,11,서대문구,11410,0,0,0,0,4,0,0,0,0,0,0
20220601,서울특별시,11,마포구,11440,서울특별시,11,마포구,11440,0,5,0,0,4,0,0,0,0,0,0
20220601,서울특별시,11,마포구,11440,서울특별시,11,양천구,11470,0,0,0,0,0,0,0,0,0,0,0
20220601,서울특별시,11,마포구,11440,서울특별시,11,강서구,11500,0,0,0,0,5,0,0,0,0,0,0
20220601,서울특별시,11,마포구,11440,서울특별시,11,구로구,11530,0,0,0,0,3,0,0,0,0,0,0
20220601,서울특별시,11,마포구,11440,서울특별시,11,금천구,11545,0,0,0,0,0,0,0,0,0,0,0
20220601,서울특별시,11,마포구,11440,서울특별시,11,영등포구,11560,0,3,0,0,3,0,0,0,0,0,0
20220601,서울특별시,11,마포구,11440,서울특별시,11,동작구,11590,0,3,0,0,3,0,0,0,0,0,0
20220601,서울특별시,11,마포구,11440,서울특별시,11,관악구,11620,0,3,0,0,3,0,0,0,0,0,0
20220601,서울특별시,11,마포구,11440,서울특별시,11,서초구,11650,0,3,0,0,4,0,0,0,0,0,0
20220601,서울특별시,11,마포구,11440,서울특별시,11,강남구,11680,0,5,0,0,4,0,0,0,0,0,0
20220601,서울특별시,11,마포구,11440,서울특별시,11,송파구,11710,0,9,0,0,6,0,0,0,0,0,0
20220601,서울특별시,11,마포구,11440,서울특별시,11,강동구,11740,0,0,0,0,3,0,0,0,0,0,0
20220601,서울특별시,11,강서구,11500,서울특별시,11,강동구,11740,0,0,0,0,0,0,0,0,13,4,0
20220601,서울특별시,11,강서구,11500,서울특별시,11,송파구,11710,0,0,0,0,0,0,0,0,13,13,0
20220601,서울특별시,11,강서구,11500,서울특별시,11,강남구,11680,0,0,0,0,0,0,0,0,7,10,0
20220601,서울특별시,11,강서구,11500,서울특별시,11,서초구,11650,0,0,0,0,0,0,0,0,3,7,0
20220601,서울특별시,11,강서구,11500,서울특별시,11,관악구,11620,0,0,0,0,0,0,0,0,9,6,0
20220601,서울특별시,11,강서구,11500,서울특별시,11,동작구,11590,0,0,0,0,0,0,0,0,6,4,0
20220601,서울특별시,11,강서구,11500,서울특별시,11,영등포구,11560,0,0,0,0,0,0,0,0,7,5,0
20220601,서울특별시,11,강서구,11500,서울특별시,11,금천구,11545,0,0,0,0,0,0,0,0,3,5,0
